D_CONTROLE,SUBJETIVIDADE,SUBJETIVIDADE COMPLEMENTAR,DATA DO FATO,HORA DO FATO,CIDADE DO FATO,BAIRRO DO FATO,SEXO DA VITIMA,COR/RACA DA VITIMA,IDADE DA VITIMA,INSTRUMENTO UTILIZADO,LOCAL DO FATO
42661,CVLI,Homicídio,01/02/2021,07:37,Maceió,Benedito Bentes,Masculino,Parda,24,PAF,Imediações de Casa
101,CVLI,Homicídio,10/01/2012,08:00,Rio Largo,Centro,Masculino,Preta,24,PAF,Via Pública
102,CVLI,Homicídio,13/01/2012,03:00,Penedo,Centro,Masculino,Parda,28,PAF,Dentro de Casa
103,CVLI,Homicídio,13/01/2012,21:00,Maceió,Cidade Universitária,Masculino,NI,26,PAF,Via Pública
104,CVLI,Homicídio,13/01/2012,12:10,São Sebastião,Zona Rural,Masculino,Parda,34,NI,Dentro de Fossa
105,CVLI,Homicídio,13/01/2012,12:30,Pão de Açúcar,Zona Rural,Masculino,Parda,28,PAF,Via Pública
106,CVLI,Homicídio,13/01/2012,19:00,Santana do Mundaú,Centro,Masculino,Parda,40,PAF,Dentro de Casa
107,CVLI,Homicídio,13/01/2012,19:40,Maceió,Cidade Universitária,Masculino,Preta,56,PAF/B,Porta de Casa
108,CVLI,Homicídio,13/01/2012,21:00,Porto Calvo,Centro,Masculino,Preta,43,PAF,Dentro de Casa
109,CVLI,Homicídio,14/01/2012,02:00,Maceió,Feitosa,Masculino,Parda,20,PAF,Via Pública
110,CVLI,Homicídio,14/01/2012,03:00,Maceió,Chã da Jaqueira,Masculino,NI,14,PAF,Dentro de Casa
111,CVLI,Homicídio,14/01/2012,09:00,Maceió,Santa Lúcia,Masculino,NI,15,PAF,Vegetação
112,CVLI,Homicídio,14/01/2012,14:00,Maceió,Rio Novo,Masculino,Parda,16,BRANCA,Vegetação
113,CVLI,Homicídio,14/01/2012,17:30,Maceió,Pescaria,Masculino,NI,,PAF/B,Via Pública
114,CVLI,Homicídio,15/01/2012,02:00,Rio Largo,Mata do Rolo,Masculino,NI,21,PAF,Danceteria
115,CVLI,Homicídio,15/01/2012,04:55,Maceió,Levada,Masculino,NI,54,PAF,Via Pública
116,CVLI,Homicídio,15/01/2012,17:43,Maceió,Clima Bom,Masculino,Parda,22,PAF,Via Pública
117,CVLI,Homicídio,15/01/2012,18:00,Maceió,Cidade Universitária,Masculino,NI,29,PAF,Porta de Casa
118,CVLI,Homicídio,15/01/2012,19:00,Maceió,Feitosa,Masculino,Parda,27,PAF,Via Pública
119,CVLI,Homicídio,15/01/2012,20:00,Pilar,Chã do Pilar,Masculino,NI,17,PAF,Via Pública
120,CVLI,Homicídio,15/01/2012,20:55,Marechal Deodoro,Barra Nova,Masculino,Parda,24,PAF,Dentro de Casa
121,CVLI,Homicídio,15/01/2012,22:30,Flexeiras,Zona Rural,Masculino,Parda,32,PAF,Via Pública
56085,CVLI,Homicídio,01/02/2024,00:26,Maceió,Benedito Bentes,Masculino,Parda,19,PAF,Estabelecimento Comercial
